"ROUTE","Route of Travel","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"01","Air Cross Channel","1998","1998","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.9"
"01","Air Cross Channel","1999","1999","TMA04C1","Visitors to Ireland","Thousand","2836"
"01","Air Cross Channel","1999","1999","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6"
"01","Air Cross Channel","1999","1999","TMA04C3","Visits Abroad by Irish Residents","Thousand","1618"
"01","Air Cross Channel","1999","1999","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.9"
"01","Air Cross Channel","2000","2000","TMA04C1","Visitors to Ireland","Thousand","3047"
"01","Air Cross Channel","2000","2000","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.3"
"01","Air Cross Channel","2000","2000","TMA04C3","Visits Abroad by Irish Residents","Thousand","1577"
"01","Air Cross Channel","2000","2000","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"01","Air Cross Channel","2001","2001","TMA04C1","Visitors to Ireland","Thousand","2969"
"01","Air Cross Channel","2001","2001","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.3"
"01","Air Cross Channel","2001","2001","TMA04C3","Visits Abroad by Irish Residents","Thousand","1670"
"01","Air Cross Channel","2001","2001","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"01","Air Cross Channel","2002","2002","TMA04C1","Visitors to Ireland","Thousand","3073"
"01","Air Cross Channel","2002","2002","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","5.7"
"01","Air Cross Channel","2002","2002","TMA04C3","Visits Abroad by Irish Residents","Thousand","1825"
"01","Air Cross Channel","2002","2002","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"01","Air Cross Channel","2003","2003","TMA04C1","Visitors to Ireland","Thousand","3253"
"01","Air Cross Channel","2003","2003","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","5.7"
"01","Air Cross Channel","2003","2003","TMA04C3","Visits Abroad by Irish Residents","Thousand","1825"
"01","Air Cross Channel","2003","2003","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.9"
"01","Air Cross Channel","2004","2004","TMA04C1","Visitors to Ireland","Thousand","3413"
"01","Air Cross Channel","2004","2004","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","5.7"
"01","Air Cross Channel","2004","2004","TMA04C3","Visits Abroad by Irish Residents","Thousand","1982"
"01","Air Cross Channel","2004","2004","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"01","Air Cross Channel","2005","2005","TMA04C1","Visitors to Ireland","Thousand","3595"
"01","Air Cross Channel","2005","2005","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","5.5"
"01","Air Cross Channel","2005","2005","TMA04C3","Visits Abroad by Irish Residents","Thousand","2215"
"01","Air Cross Channel","2005","2005","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"01","Air Cross Channel","2006","2006","TMA04C1","Visitors to Ireland","Thousand","3900"
"01","Air Cross Channel","2006","2006","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","5.1"
"01","Air Cross Channel","2006","2006","TMA04C3","Visits Abroad by Irish Residents","Thousand","2252"
"01","Air Cross Channel","2006","2006","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.5"
"01","Air Cross Channel","2007","2007","TMA04C1","Visitors to Ireland","Thousand","3754"
"01","Air Cross Channel","2007","2007","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","4.8"
"01","Air Cross Channel","2007","2007","TMA04C3","Visits Abroad by Irish Residents","Thousand","2356"
"01","Air Cross Channel","2007","2007","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"01","Air Cross Channel","2008","2008","TMA04C1","Visitors to Ireland","Thousand","3690"
"01","Air Cross Channel","2008","2008","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","5.1"
"01","Air Cross Channel","2008","2008","TMA04C3","Visits Abroad by Irish Residents","Thousand","2468"
"01","Air Cross Channel","2008","2008","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"02","Sea Cross Channel","1976","1976","TMA04C1","Visitors to Ireland","Thousand","515"
"02","Sea Cross Channel","1976","1976","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","13.7"
"02","Sea Cross Channel","1976","1976","TMA04C3","Visits Abroad by Irish Residents","Thousand","274"
"02","Sea Cross Channel","1976","1976","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.1"
"02","Sea Cross Channel","1977","1977","TMA04C1","Visitors to Ireland","Thousand","630"
"02","Sea Cross Channel","1977","1977","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"02","Sea Cross Channel","1977","1977","TMA04C3","Visits Abroad by Irish Residents","Thousand","341"
"02","Sea Cross Channel","1977","1977","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"02","Sea Cross Channel","1978","1978","TMA04C1","Visitors to Ireland","Thousand","758"
"02","Sea Cross Channel","1978","1978","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.8"
"02","Sea Cross Channel","1978","1978","TMA04C3","Visits Abroad by Irish Residents","Thousand","413"
"02","Sea Cross Channel","1978","1978","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","10.5"
"02","Sea Cross Channel","1979","1979","TMA04C1","Visitors to Ireland","Thousand","769"
"02","Sea Cross Channel","1979","1979","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.8"
"02","Sea Cross Channel","1979","1979","TMA04C3","Visits Abroad by Irish Residents","Thousand","401"
"02","Sea Cross Channel","1979","1979","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"02","Sea Cross Channel","1980","1980","TMA04C1","Visitors to Ireland","Thousand","778"
"02","Sea Cross Channel","1980","1980","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"02","Sea Cross Channel","1980","1980","TMA04C3","Visits Abroad by Irish Residents","Thousand","453"
"02","Sea Cross Channel","1980","1980","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"02","Sea Cross Channel","1981","1981","TMA04C1","Visitors to Ireland","Thousand","763"
