"ROUTE","Route of Travel","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"01","Air Cross Channel","19884","1988Q4","TMQ01C1","Visitors to Ireland","Thousand","238"
"01","Air Cross Channel","19884","1988Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","192"
"01","Air Cross Channel","19891","1989Q1","TMQ01C1","Visitors to Ireland","Thousand","231"
"01","Air Cross Channel","19891","1989Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","177"
"01","Air Cross Channel","19892","1989Q2","TMQ01C1","Visitors to Ireland","Thousand","277"
"01","Air Cross Channel","19892","1989Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","204"
"01","Air Cross Channel","19893","1989Q3","TMQ01C1","Visitors to Ireland","Thousand","411"
"01","Air Cross Channel","19893","1989Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","254"
"01","Air Cross Channel","19894","1989Q4","TMQ01C1","Visitors to Ireland","Thousand","289"
"01","Air Cross Channel","19894","1989Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","196"
"01","Air Cross Channel","19901","1990Q1","TMQ01C1","Visitors to Ireland","Thousand","258"
"01","Air Cross Channel","19901","1990Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","191"
"01","Air Cross Channel","19902","1990Q2","TMQ01C1","Visitors to Ireland","Thousand","345"
"01","Air Cross Channel","19902","1990Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","225"
"01","Air Cross Channel","19903","1990Q3","TMQ01C1","Visitors to Ireland","Thousand","449"
"01","Air Cross Channel","19903","1990Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","269"
"01","Air Cross Channel","19904","1990Q4","TMQ01C1","Visitors to Ireland","Thousand","299"
"01","Air Cross Channel","19904","1990Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","174"
"01","Air Cross Channel","19911","1991Q1","TMQ01C1","Visitors to Ireland","Thousand","222"
"01","Air Cross Channel","19911","1991Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","172"
"01","Air Cross Channel","19912","1991Q2","TMQ01C1","Visitors to Ireland","Thousand","297"
"01","Air Cross Channel","19912","1991Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","184"
"01","Air Cross Channel","19913","1991Q3","TMQ01C1","Visitors to Ireland","Thousand","403"
